#times,        event_counts,  pop_size       
0.000E+00,     0.000E+00,     1.200E+02      
2.000E+00,     4.375E-01,     1.196E+02      
4.050E+00,     8.750E-01,     1.191E+02      
6.050E+00,     1.250E+00,     1.188E+02      
8.050E+00,     1.688E+00,     1.183E+02      
1.000E+01,     2.313E+00,     1.177E+02      
1.200E+01,     2.688E+00,     1.173E+02      
1.400E+01,     3.063E+00,     1.169E+02      
1.600E+01,     3.313E+00,     1.167E+02      
1.800E+01,     3.688E+00,     1.163E+02      
2.000E+01,     4.313E+00,     1.157E+02      
2.200E+01,     4.688E+00,     1.153E+02      
2.400E+01,     5.313E+00,     1.147E+02      
2.600E+01,     5.938E+00,     1.141E+02      
2.800E+01,     6.438E+00,     1.136E+02      
3.000E+01,     6.750E+00,     1.133E+02      
3.200E+01,     7.250E+00,     1.128E+02      
3.400E+01,     7.688E+00,     1.123E+02      
3.600E+01,     8.000E+00,     1.120E+02      
3.805E+01,     8.375E+00,     1.116E+02      
4.005E+01,     8.688E+00,     1.113E+02      
4.205E+01,     8.938E+00,     1.111E+02      
4.405E+01,     9.500E+00,     1.105E+02      
4.605E+01,     9.813E+00,     1.102E+02      
4.805E+01,     1.019E+01,     1.098E+02      
5.005E+01,     1.088E+01,     1.091E+02      
5.205E+01,     1.113E+01,     1.089E+02      
5.405E+01,     1.138E+01,     1.086E+02      
5.605E+01,     1.181E+01,     1.082E+02      
5.805E+01,     1.200E+01,     1.080E+02      
6.005E+01,     1.244E+01,     1.076E+02      
6.205E+01,     1.269E+01,     1.073E+02      
6.405E+01,     1.313E+01,     1.069E+02      
6.605E+01,     1.363E+01,     1.064E+02      
6.805E+01,     1.394E+01,     1.061E+02      
7.005E+01,     1.450E+01,     1.055E+02      
7.205E+01,     1.494E+01,     1.051E+02      
7.405E+01,     1.531E+01,     1.047E+02      
7.605E+01,     1.594E+01,     1.041E+02      
7.805E+01,     1.613E+01,     1.039E+02      
8.005E+01,     1.625E+01,     1.038E+02      
8.205E+01,     1.644E+01,     1.036E+02      
8.405E+01,     1.675E+01,     1.033E+02      
8.605E+01,     1.681E+01,     1.032E+02      
8.805E+01,     1.756E+01,     1.024E+02      
9.005E+01,     1.781E+01,     1.022E+02      
9.205E+01,     1.813E+01,     1.019E+02      
9.405E+01,     1.856E+01,     1.014E+02      
9.605E+01,     1.906E+01,     1.009E+02      
9.805E+01,     1.925E+01,     1.008E+02      
1.000E+02,     1.956E+01,     1.004E+02      
